Search,Search
"Voice Search","Voice Search"
"Search entire store here...","Search entire store here..."
Listening...,Listening...
SpeakSearch,SpeakSearch
"SpeakSearch Configuration","SpeakSearch Configuration"
MageINIC,MageINIC
"Speak Search","Speak Search"
"Speak Search Configuration","Speak Search Configuration"
Enable,Enable
"Enable frontend","Enable frontend"
"Image Upload","Image Upload"
"Icon for speak search button. If empty, default will be used.
                        <br />Allowed file types: jpg, jpeg, gif, png, svg","Icon for speak search button. If empty, default will be used.
                        <br />Allowed file types: jpg, jpeg, gif, png, svg"
